OBSERVATION_TIMESTAMP,OBSERVATION_TEXT,PUMP
6/14/2013 20:12,ESP Failure,pump-498
6/14/2013 20:13,ESP Failure,pump-498
6/14/2013 20:14,ESP Failure,pump-498
6/14/2013 20:15,ESP Failure,pump-498
6/14/2013 20:16,ESP Failure,pump-498
6/14/2013 20:17,ESP Failure,pump-498
6/14/2013 20:18,ESP Failure,pump-498
6/14/2013 20:19,ESP Failure,pump-498
6/14/2013 20:20,ESP Failure,pump-498
6/14/2013 20:21,ESP Failure,pump-498
6/14/2013 20:22,ESP Failure,pump-498
6/14/2013 20:23,ESP Failure,pump-498
6/14/2013 20:24,ESP Failure,pump-498
6/14/2013 20:25,ESP Failure,pump-498
6/14/2013 20:26,ESP Failure,pump-498
6/14/2013 20:27,ESP Failure,pump-498
6/14/2013 20:28,ESP Failure,pump-498
6/14/2013 20:29,ESP Failure,pump-498
6/14/2013 20:30,ESP Failure,pump-498
6/14/2013 20:31,ESP Failure,pump-498
6/14/2013 20:32,ESP Failure,pump-498
6/14/2013 20:33,ESP Failure,pump-498
6/14/2013 20:34,ESP Failure,pump-498
6/14/2013 20:35,ESP Failure,pump-498
6/14/2013 20:36,ESP Failure,pump-498
6/14/2013 20:37,ESP Failure,pump-498
6/14/2013 20:38,ESP Failure,pump-498
6/14/2013 20:39,ESP Failure,pump-498
6/14/2013 20:40,ESP Failure,pump-498
6/14/2013 20:41,ESP Failure,pump-498
6/14/2013 20:42,ESP Failure,pump-498
6/14/2013 20:43,ESP Failure,pump-498
6/14/2013 20:44,ESP Failure,pump-498
6/14/2013 20:45,ESP Failure,pump-498
6/14/2013 20:46,ESP Failure,pump-498
6/14/2013 20:47,ESP Failure,pump-498
6/14/2013 20:48,ESP Failure,pump-498
6/14/2013 20:49,ESP Failure,pump-498
6/14/2013 20:50,ESP Failure,pump-498
6/14/2013 20:51,ESP Failure,pump-498
6/14/2013 20:52,ESP Failure,pump-498
6/14/2013 20:53,ESP Failure,pump-498
6/14/2013 20:54,ESP Failure,pump-498
6/14/2013 20:55,ESP Failure,pump-498
6/14/2013 20:56,ESP Failure,pump-498
6/14/2013 20:57,ESP Failure,pump-498
6/14/2013 20:58,ESP Failure,pump-498
6/14/2013 20:59,ESP Failure,pump-498
6/14/2013 21:01,ESP Failure,pump-498
6/14/2013 21:02,ESP Failure,pump-498
6/14/2013 21:03,ESP Failure,pump-498
6/14/2013 21:04,ESP Failure,pump-498
6/14/2013 21:05,ESP Failure,pump-498
6/14/2013 21:06,ESP Failure,pump-498
6/14/2013 21:07,ESP Failure,pump-498
6/14/2013 21:08,ESP Failure,pump-498
6/14/2013 21:09,ESP Failure,pump-498
6/14/2013 21:10,ESP Failure,pump-498
6/14/2013 21:11,ESP Failure,pump-498
6/14/2013 21:12,ESP Failure,pump-498
6/14/2013 21:13,ESP Failure,pump-498
6/14/2013 21:14,ESP Failure,pump-498
6/14/2013 21:15,ESP Failure,pump-498
6/14/2013 21:16,ESP Failure,pump-498
6/14/2013 21:17,ESP Failure,pump-498
6/14/2013 21:18,ESP Failure,pump-498
6/14/2013 21:19,ESP Failure,pump-498
6/14/2013 21:20,ESP Failure,pump-498
6/14/2013 21:21,ESP Failure,pump-498
6/14/2013 21:22,ESP Failure,pump-498
6/14/2013 21:23,ESP Failure,pump-498
6/14/2013 21:24,ESP Failure,pump-498
6/14/2013 21:25,ESP Failure,pump-498
6/14/2013 21:26,ESP Failure,pump-498
6/14/2013 21:27,ESP Failure,pump-498
6/14/2013 21:28,ESP Failure,pump-498
6/14/2013 21:29,ESP Failure,pump-498
6/14/2013 21:30,ESP Failure,pump-498
6/14/2013 21:31,ESP Failure,pump-498
6/14/2013 21:32,ESP Failure,pump-498
6/14/2013 21:33,ESP Failure,pump-498
6/14/2013 21:34,ESP Failure,pump-498
6/14/2013 21:35,ESP Failure,pump-498
6/14/2013 21:36,ESP Failure,pump-498
6/14/2013 21:37,ESP Failure,pump-498
6/14/2013 21:38,ESP Failure,pump-498
6/14/2013 21:39,ESP Failure,pump-498
6/14/2013 21:40,ESP Failure,pump-498
6/14/2013 21:41,ESP Failure,pump-498
6/14/2013 21:42,ESP Failure,pump-498
6/14/2013 21:43,ESP Failure,pump-498
6/14/2013 21:44,ESP Failure,pump-498
6/14/2013 21:45,ESP Failure,pump-498
6/14/2013 21:46,ESP Failure,pump-498
6/14/2013 21:47,ESP Failure,pump-498
6/14/2013 21:48,ESP Failure,pump-498
6/14/2013 21:49,ESP Failure,pump-498
6/14/2013 21:50,ESP Failure,pump-498
6/14/2013 21:51,ESP Failure,pump-498
6/14/2013 21:52,ESP Failure,pump-498
6/14/2013 21:53,ESP Failure,pump-498
6/14/2013 21:54,ESP Failure,pump-498
6/14/2013 21:55,ESP Failure,pump-498
6/14/2013 21:56,ESP Failure,pump-498
6/14/2013 21:57,ESP Failure,pump-498
